Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
32961117008,-15.75,7.125,26.25,-0.065918,0.03125,0.923828,,,
32961117658,-14.25,6.4375,24.125,-0.0712891,0.0327148,0.9375,,,
32961125138,-11.1875,6.75,21.5625,-0.0649414,0.0493164,0.945801,,,
32961140567,-8.1875,7.5,18.625,-0.0556641,0.0673828,0.941895,,,
32961154356,-5.625,10,14.25,-0.0576172,0.0957031,0.924316,,,
32961178316,-4.5625,13.3125,8.875,-0.0708008,0.102539,0.898926,,,
32961199438,-3.875,15.1875,5.1875,-0.0927734,0.0932617,0.911621,,,
32961213148,0.3125,16.1875,2.25,-0.103516,0.097168,0.92334,,,
32961235180,4.75,16.25,0.375,-0.12793,0.115234,0.916016,,,
32961274105,6.5,16.5,-1.5,-0.121582,0.131348,0.915039,,,
32961280198,6.8125,18.9375,-4.375,-0.112793,0.14209,0.921387,,,
32961313382,6.9375,22.25,-7,-0.0947266,0.143555,0.947754,,,
32961341911,8.0625,25.625,-9.0625,-0.0874023,0.14502,0.969727,,,
32961344192,9.875,26.9375,-10.5625,-0.100098,0.140137,0.943848,,,
32961365846,8.3125,26.6875,-10.875,-0.138672,0.121582,0.92334,,,
32961401662,7.6875,30.1875,-10.6875,-0.14209,0.074707,0.927734,,,
32961404171,12.1875,34.9375,-9.125,-0.129395,0.0541992,0.95752,,,
32961462403,19.1875,39.5,-6.875,-0.138672,0.081543,0.943848,,,
32961491633,18.1875,40.4375,-3.0625,-0.192383,0.0908203,0.898438,,,
32961521770,8.25,43.4375,3.125,-0.222168,0.104492,0.88623,,,
32961524237,3.75,44.875,2.3125,-0.225586,0.116211,0.861816,,,
32961560712,-1.25,46.75,2.5625,-0.245117,0.114258,0.869629,,,
32961571972,-3.0625,49.125,4.1875,-0.240723,0.0654297,0.894531,,,
32961591722,8.6875,60.625,4.4375,-0.236328,0.119141,0.947754,,,
32961605644,10.125,66.75,2.8125,-0.258301,0.147949,0.949707,,,
32961620125,6.9375,71.3125,0.3125,-0.291504,0.182617,0.954102,,,
32961648643,1.125,73.375,-2,-0.303711,0.185059,0.949219,,,
32961678427,-7.0625,73.125,-3.1875,-0.320312,0.183594,0.932129,,,
32961769359,-14.6875,71.5,-4.3125,-0.349121,0.14209,0.907715,,,
32961771750,-19.875,70.5625,-4.1875,-0.361328,0.146484,0.927734,,,
32961927417,-24.9375,68.6875,-2.5625,-0.370117,0.126465,0.90918,,,
32961955003,-24.5,58.0625,9.25,-0.41748,0.0883789,0.863281,,,
32962077531,-18.9375,57.5625,12.0625,-0.504883,0.0957031,0.842285,,,
32962078517,-5.6875,66.6875,15.75,-0.674316,0.110352,0.825684,,,
32962079124,-55.1875,51.25,16.1875,-1.04932,0.253418,0.59082,,,
32962108271,-49.5625,53.5,14.5625,-0.909668,0.166504,0.668945,,,
32962127744,-17.75,51.5625,48.25,-0.815918,0.192871,0.555176,,,
32962138380,-43.5625,49.8125,52.4375,-0.808105,0.205566,0.541016,,,
32962167473,-59.75,47.625,54.3125,-0.800293,0.182129,0.561035,,,
32962196768,-61.3125,47.25,53.5625,-0.807129,0.176758,0.578613,,,
32962219307,-53.5625,48.4375,50.5625,-0.828613,0.182617,0.581055,,,
32962221499,-42.6875,48.6875,46.4375,-0.854004,0.193848,0.586914,,,
32962226781,-32.0625,47.625,41.5625,-0.855957,0.216797,0.593262,,,
32962248029,-25.1875,44.9375,36.25,-0.853516,0.228516,0.576172,,,
32962254019,-23.875,43.3125,31.0625,-0.850586,0.238281,0.567871,,,
32962279578,-27.8125,43.6875,26.625,-0.862305,0.254883,0.555176,,,
32962355723,-37.5,41.875,24.75,-0.859375,0.253418,0.541016,,,
32962452458,-47,37.5625,25.0625,-0.85791,0.214844,0.541016,,,
32962483235,-45.25,29.75,29.25,-0.839355,0.203613,0.561523,,,
32962496868,-50.25,15.0625,19.5,-0.863281,0.211914,0.568359,,,
32962511489,-40.75,10.4375,10.4375,-0.864746,0.206543,0.562012,,,
32962541895,-38.375,12.9375,2.125,-0.946289,0.228027,0.530273,,,
32962544110,-41.0625,12.75,-1.0625,-0.95166,0.106445,0.515625,,,
32962602447,-36.375,11.5625,4.0625,-0.819824,-0.0166016,0.535645,,,
32962631788,-24.75,10.1875,9.8125,-0.719238,-0.0581055,0.529785,,,
32962690461,-22.0625,13,18.0625,-0.748047,0.0117188,0.459473,,,
32962722392,-34.0625,17,21.5,-0.784668,0.00683594,0.459473,,,
32962729311,-40.5625,22.3125,24.0625,-0.806152,-0.0336914,0.456055,,,
32962729978,-32.6875,24.5,28.5625,-0.847656,-0.0439453,0.40625,,,
32962750311,-28.125,18.5,33.8125,-0.88916,-0.0654297,0.342773,,,
32962756738,-22.6875,15.625,37.625,-0.860352,-0.0610352,0.345215,,,
32962820722,-15.25,14.6875,38.3125,-0.875977,-0.0297852,0.360352,,,
32962849902,-7.5625,13.0625,37.4375,-0.898926,-0.00390625,0.377441,,,
32962873285,12.6875,7.125,36.1875,-0.916992,0.0219727,0.381836,,,
32962976807,20.875,4.375,36.375,-0.907227,0.0371094,0.369141,,,
32962998461,26.0625,1.625,38,-0.893066,0.0292969,0.355957,,,
32963126907,29.6875,-2,41.6875,-0.85498,0.0161133,0.356445,,,
32963129074,17.25,-10.5,65.5625,-0.71582,0.167969,0.401855,,,
32963150696,15.4375,-9.375,67.8125,-0.721191,0.202637,0.395508,,,
32963155996,-4.75,-70.8125,64.625,-0.834961,0.406738,0.348145,,,
32963158422,7.0625,-81.875,66.1875,-0.78125,0.388672,0.379395,,,
32963179458,22.875,-92.25,69.125,-0.718262,0.384766,0.414062,,,
32963209693,34.3125,-99.3125,68.875,-0.650879,0.445312,0.403809,,,
32963215399,27.5625,-103.312,68.125,-0.609863,0.545898,0.477051,,,
32963246149,13.6875,-104.625,68.3125,-0.577148,0.553223,0.535645,,,
32963252911,5,-106.25,67.6875,-0.52832,0.555176,0.540039,,,
32963282236,4.9375,-109.375,63.3125,-0.506348,0.583984,0.564941,,,
32963306150,7.0625,-108.375,58.25,-0.511719,0.661133,0.557129,,,
32963313075,1.875,-108.062,51,-0.553223,0.755371,0.543457,,,
32963337451,-12.9375,-113.25,45.875,-0.580566,0.751953,0.549316,,,
32963356580,-23,-115.312,42.5625,-0.554199,0.727051,0.583008,,,
32963373016,-25,-113.562,35.8125,-0.536621,0.772949,0.628418,,,
32963394127,-25.5,-111.5,26.1875,-0.579102,0.808105,0.684082,,,
32963424715,-30.1875,-111,17.8125,-0.550293,0.803223,0.720703,,,
32963433084,-31.75,-109.375,7.8125,-0.472168,0.774902,0.797852,,,
32963454196,-16.8125,-97.9375,-7.125,-0.391113,0.861816,0.88623,,,
32963478078,4.375,-77.8125,-27.25,-0.369141,0.919922,0.994141,,,
32963492946,28.25,-52.875,-47.0625,-0.305176,0.864258,1.1626,,,
32963522384,48.1875,-20.75,-58.5,-0.154297,0.841309,1.36279,,,
32963544778,47.4375,10.0625,-68,-0.0849609,0.795898,1.44482,,,
32963553199,18.75,28.1875,-67.5625,-0.090332,0.755859,1.48047,,,
32963576889,-27.9375,30.125,-57.0625,-0.132812,0.59082,1.44043,,,
32963614335,-70.125,24.1875,-41.25,-0.105469,0.394043,1.35059,,,
32963616647,-90.25,18.5,-27.0625,-0.0673828,0.324219,1.20166,,,
32963642135,-100.812,13.5625,-16.3125,-0.0483398,0.348633,1.01318,,,
32963656471,-110.438,6.8125,-11.6875,-0.0986328,0.392578,0.842285,,,
32963674595,-120.25,-2.8125,-9.8125,-0.145508,0.355469,0.73584,,,
32963702150,-115.5,-11.25,-11.1875,-0.160645,0.32373,0.685059,,,
32963725325,-99.1875,-15.625,-16.4375,-0.20459,0.28125,0.629395,,,
32963734409,-79.375,-17.5625,-20.3125,-0.235352,0.240723,0.589844,,,
32963765068,-62.875,-16.375,-22.3125,-0.26709,0.208008,0.614746,,,
32963776544,-42.375,-16.8125,-21.625,-0.303711,0.188477,0.631348,,,
32963794513,-25.25,-18.3125,-20,-0.306152,0.15918,0.662598,,,
32963823576,-11.5625,-14.6875,-15.0625,-0.26709,0.112305,0.692383,,,
32963836478,2.6875,-8.4375,-10.25,-0.242188,0.0986328,0.750977,,,
32963854468,13,-7.125,-6.875,-0.243164,0.134277,0.752441,,,
32963883525,10.9375,-7.4375,-3,-0.236816,0.161621,0.768555,,,
32963914012,5.1875,-7.8125,0.5,-0.227051,0.162598,0.786621,,,
32963918978,4.4375,-7.375,0.125,-0.209473,0.14209,0.779785,,,
32963950382,10.875,-3.5,-1.625,-0.21582,0.138672,0.813477,,,
32963956690,18.4375,2.875,-3.0625,-0.234375,0.172852,0.851562,,,
32963980443,23.6875,6.5625,-6.9375,-0.258301,0.160645,0.849609,,,
32964002945,26.8125,9.25,-8.5625,-0.263672,0.134766,0.86377,,,
32964016469,31.8125,13.5,-9.75,-0.285156,0.167969,0.890137,,,
32964034362,34.6875,17.125,-12.125,-0.302734,0.194824,0.904297,,,
32964055500,30.375,23.3125,-14.8125,-0.33252,0.181152,0.922852,,,
32964076665,34.375,24.75,-15.5,-0.365723,0.210449,0.94043,,,
32964092950,31.5,22.4375,-14.3125,-0.357422,0.217285,0.993164,,,
32964115375,34.5,24.5625,-14.875,-0.335449,0.215332,0.916992,,,
32964138169,40.25,23.75,-18.8125,-0.400391,0.261719,0.889648,,,
32964160480,32.5625,18.1875,-21.4375,-0.426758,0.32959,0.896973,,,
32964175473,29.125,12.3125,-23.5625,-0.386719,0.326172,0.918457,,,
32964197995,34.5625,11.9375,-30.0625,-0.363281,0.285645,0.916504,,,
32964213762,38.5625,23.875,-35.0625,-0.327148,0.302246,0.889648,,,
32964235512,43.75,31.875,-40.1875,-0.381836,0.396973,0.851074,,,
32964259375,38.75,24.8125,-44.8125,-0.441895,0.484375,0.854004,,,
32964273166,25.75,16.6875,-45.75,-0.448242,0.477539,0.87793,,,
32964295343,23.625,12.5625,-45.6875,-0.399902,0.422852,0.887695,,,
32964316482,33.3125,10.6875,-45.125,-0.385742,0.439453,0.882324,,,
32964332999,35.625,7.1875,-44.8125,-0.376465,0.481934,0.848633,,,
32964355491,31.5,4.625,-43.6875,-0.397949,0.51123,0.839844,,,
32964384623,26.5625,-0.9375,-38.4375,-0.425781,0.510254,0.853516,,,
32964393025,23.25,-6.9375,-31.875,-0.413574,0.51416,0.855469,,,
32964415420,22.0625,-13.3125,-24.25,-0.395996,0.521973,0.86377,,,
32964446707,23.875,-19.5,-16.3125,-0.404785,0.541992,0.853027,,,
32964452051,18.5625,-26.0625,-5.5,-0.37793,0.547363,0.864258,,,
32964474798,14.25,-30.9375,5.3125,-0.336914,0.540527,0.871094,,,
32964497372,12.875,-33.25,15.3125,-0.315918,0.528809,0.866699,,,
32964512325,9.625,-34.0625,25.3125,-0.296875,0.542969,0.833008,,,
32964534767,6.5625,-36.1875,35.5,-0.302246,0.56543,0.810547,,,
32964557223,2.3125,-37.5,45.0625,-0.287109,0.569824,0.79834,,,
32964572146,-0.0625,-37.5625,53.75,-0.256836,0.560547,0.785156,,,
32964594864,-0.4375,-36.125,62.5625,-0.23877,0.554688,0.776855,,,
32964616946,-1,-31.625,70.125,-0.223145,0.568848,0.758789,,,
32964632244,-2.4375,-26.5,76.5625,-0.218262,0.57666,0.750488,,,
32964654842,-3.25,-20.5625,83.75,-0.208496,0.591309,0.75,,,
32964677260,-6,-13.4375,90.8125,-0.198242,0.588867,0.747559,,,
32964692362,-8.625,-3.5,95.4375,-0.196289,0.579102,0.767578,,,
32964714815,-7.875,3.5,99.8125,-0.201172,0.597168,0.765625,,,
32964745448,-7.375,7,102.375,-0.224121,0.598145,0.746582,,,
32964752189,-11.0625,11.25,102.75,-0.219727,0.575684,0.765625,,,
32964774827,-10.875,12.9375,102.312,-0.238281,0.584473,0.795898,,,
32964797150,-12.0625,10.25,102.688,-0.257324,0.568359,0.819336,,,
32964819672,-14,7.1875,98.0625,-0.242188,0.503906,0.833008,,,
32964834614,-8.375,6.625,89.8125,-0.250488,0.51709,0.833496,,,
32964857138,-10.625,7.1875,81.75,-0.265625,0.53418,0.823242,,,
32964874104,-16.25,10.9375,70.3125,-0.259766,0.48291,0.797852,,,
32964902174,-15.5625,13.875,59,-0.288086,0.444824,0.82666,,,
32964917136,-10.1875,14.8125,45.5,-0.289062,0.425781,0.790527,,,
32964934046,-2.25,13.5,32.625,-0.307129,0.44043,0.827148,,,
32964962400,2.9375,8.5,23.6875,-0.299805,0.460938,0.837402,,,
32964977294,2.25,11.5,14.8125,-0.307617,0.448242,0.85791,,,
32964994067,4.8125,2.4375,14.25,-0.278809,0.480957,0.848145,,,
32965022035,4.4375,1,7.5625,-0.20166,0.481445,0.856934,,,
32965037079,7.6875,-3.25,2.0625,-0.199219,0.499023,0.866699,,,
32965053514,3.625,-7.6875,-1.5,-0.161621,0.519043,0.853027,,,
32965082132,-1,-6,-2.25,-0.112305,0.519043,0.865723,,,
32965097278,-2.875,-5.625,-1.625,-0.0864258,0.529785,0.851562,,,
32965114657,-2.125,-7.875,-1.875,-0.074707,0.54248,0.846191,,,
32965150213,-2.4375,-7.125,-1.3125,-0.0698242,0.539551,0.842285,,,
32965157035,-4.9375,-4.9375,0.375,-0.0717773,0.543457,0.84375,,,
32965189174,-6.0625,-3.4375,0,-0.0722656,0.522461,0.834961,,,
32965194585,-4.0625,-4.5625,0.125,-0.0791016,0.51709,0.839355,,,
32965217155,-4.25,-7.125,0.3125,-0.0732422,0.508789,0.834473,,,
32965241106,-5,-6.5625,1.5,-0.0532227,0.519043,0.839844,,,
32965254531,-4.6875,-3.9375,2.75,-0.0483398,0.511719,0.841797,,,
32965277165,-3.25,-5,1.8125,-0.0703125,0.513184,0.849609,,,
32965300985,-2.0625,-7.375,1.6875,-0.0649414,0.522949,0.841797,,,
32965314707,-6,-7.5,4.125,-0.0576172,0.532715,0.847656,,,
32965337051,-8.3125,-9.5625,7.1875,-0.074707,0.529297,0.827637,,,
32965361072,-8.4375,-11.5625,5.875,-0.0610352,0.499512,0.840332,,,
32965374509,0.4375,-4.1875,2.9375,-0.0390625,0.534668,0.842773,,,
32965397167,10.875,-1.1875,-5.5,-0.0561523,0.549316,0.816895,,,
32965414824,5.8125,1.3125,-7.625,-0.101562,0.509277,0.837402,,,
32965434658,-7.6875,-0.6875,-2.25,-0.0942383,0.461426,0.865723,,,
32965458750,-11.875,-0.1875,-1.5,-0.0795898,0.439941,0.873047,,,
32965473621,-5.5,1.1875,-0.625,-0.043457,0.478516,0.872559,,,
32965494834,0.4375,0.875,-3.875,-0.034668,0.51709,0.862793,,,
32965518531,-0.0625,0.9375,-4.5625,-0.0400391,0.528809,0.85791,,,
32965533526,-3.75,1.75,-2.8125,-0.0522461,0.519043,0.850586,,,
32965554697,-4,1.4375,-1.0625,-0.0600586,0.496094,0.853027,,,
32965578574,-2.4375,0.5625,-0.9375,-0.0585938,0.510742,0.840332,,,
32965593469,-2.125,-2.125,-0.4375,-0.0532227,0.508789,0.850586,,,
32965615969,-2.4375,-2,0,-0.0493164,0.506348,0.855469,,,
32965638876,-2.25,-0.6875,-0.375,-0.0522461,0.504395,0.859375,,,
32965652987,-2.4375,-0.75,-1.0625,-0.0625,0.495605,0.861816,,,
32965676201,-1.5625,-1,-1.125,-0.0595703,0.499512,0.862305,,,
32965704532,-1.375,-1,-0.875,-0.0615234,0.500977,0.855957,,,
32965713032,-1.75,-0.875,-0.6875,-0.0576172,0.510254,0.858398,,,
32965735984,-2.9375,-0.125,-0.75,-0.0561523,0.501953,0.868164,,,
32965764618,-2.625,0.1875,-1.25,-0.0571289,0.498535,0.859375,,,
32965772889,-3,0.3125,-1.8125,-0.0634766,0.494629,0.861328,,,
32965796113,-2.25,0.1875,-1.8125,-0.0629883,0.499023,0.858398,,,
32965810613,-3.5,0.125,-1.625,-0.0625,0.5,0.862793,,,
32965832830,-3.3125,-0.25,-1.4375,-0.0620117,0.491699,0.86084,,,
32965856539,-2.125,-0.5,-1.25,-0.0561523,0.48877,0.850586,,,
32965870318,-1.5625,-0.8125,-1.25,-0.0634766,0.489746,0.849121,,,
32965893146,-1.625,-0.8125,-1.0625,-0.0678711,0.488281,0.852539,,,
32965916054,-2,-1.1875,-1,-0.0556641,0.489258,0.851074,,,
32965930637,-0.625,-1.9375,-1.1875,-0.0595703,0.490723,0.858398,,,
32965952907,0.6875,-2.25,-0.875,-0.0512695,0.494141,0.858398,,,
32965983638,0.75,-2.4375,-0.4375,-0.0493164,0.492188,0.857422,,,
32965990365,0,-3,-0.3125,-0.0493164,0.483398,0.857422,,,
32966013391,0.125,-2.5,-0.4375,-0.0566406,0.48877,0.86084,,,
32966043599,0.4375,-2.3125,-0.1875,-0.0585938,0.492188,0.85498,,,
32966050374,-0.125,-2,-0.3125,-0.0546875,0.490723,0.866211,,,
32966073446,0.5,-1.875,-0.25,-0.0527344,0.492188,0.861328,,,
32966103566,0.8125,-2.0625,-0.1875,-0.0581055,0.497559,0.856445,,,
32966110541,1,-2.8125,0,-0.0625,0.484863,0.851074,,,
32966132961,1.25,-2.4375,0.125,-0.0595703,0.490723,0.855957,,,
32966156119,1.0625,-2.375,0.6875,-0.0585938,0.48877,0.858887,,,
32966170946,1.8125,-2.375,1,-0.0498047,0.492188,0.862305,,,
32966192950,2.125,-2.875,0.8125,-0.050293,0.495605,0.861816,,,
32966216243,2.3125,-2.625,0.5,-0.0424805,0.503418,0.858887,,,
32966230890,1.25,-2.3125,0.0625,-0.0478516,0.493652,0.86377,,,
32966261561,1.6875,-2.0625,0.0625,-0.0454102,0.490723,0.856934,,,
32966276084,2.125,-2.125,0.375,-0.0498047,0.49707,0.858398,,,
32966290822,1.75,-1.8125,0.125,-0.0507812,0.496094,0.859863,,,
32966321021,1.5,-1.875,0.3125,-0.0400391,0.49707,0.862793,,,
32966336283,0.6875,-1.125,0.125,-0.046875,0.503418,0.86377,,,
32966357353,1.0625,-1,0.0625,-0.0473633,0.496582,0.86377,,,
32966380981,0.9375,-1.0625,0,-0.0493164,0.501465,0.86377,,,
32966396083,0.1875,-0.75,-0.0625,-0.0473633,0.500977,0.860352,,,
32966417180,-0.0625,-0.5625,-0.5,-0.0517578,0.503418,0.864258,,,
32966439855,-0.25,-0.3125,-0.5625,-0.050293,0.509277,0.858887,,,
32966456069,0.125,0,-0.6875,-0.0512695,0.503418,0.849121,,,
32966478622,-0.25,-0.1875,-0.6875,-0.0488281,0.498535,0.850586,,,
32966493172,0.25,-0.4375,-1.1875,-0.0488281,0.499023,0.856934,,,
32966516076,0.4375,-0.4375,-1,-0.0458984,0.5,0.857422,,,
32966538697,0.3125,-0.5,-1,-0.0415039,0.497559,0.856445,,,
32966552893,0.1875,-0.625,-0.9375,-0.043457,0.49707,0.856934,,,
32966575539,0.0625,-0.625,-1.125,-0.0458984,0.496094,0.856934,,,
32966598699,0.25,-0.625,-0.75,-0.0512695,0.498535,0.857422,,,
32966613025,0.0625,-0.9375,-0.625,-0.0498047,0.498047,0.852539,,,
32966635420,-0.1875,-0.8125,-0.8125,-0.0507812,0.498535,0.858887,,,
32966658629,0.375,-0.875,-0.6875,-0.046875,0.500977,0.851074,,,
32966672873,0.5,-0.6875,-0.875,-0.0507812,0.498535,0.851074,,,
32966695358,0.375,-0.625,-0.8125,-0.0488281,0.5,0.850098,,,
32966717051,0.25,-0.6875,-0.9375,-0.046875,0.498535,0.856934,,,
32966732988,0.125,-0.625,-0.75,-0.043457,0.500488,0.86377,,,
32966755405,-0.25,-0.375,-0.5625,-0.0488281,0.493652,0.865723,,,
32966786221,-0.3125,0,-0.3125,-0.0449219,0.494629,0.861328,,,
32966793017,-0.125,0.1875,-0.5625,-0.0493164,0.498047,0.859863,,,
32966815898,-0.25,0.125,-0.75,-0.0483398,0.5,0.855469,,,
32966846283,-0.375,0.1875,-1.0625,-0.0483398,0.508301,0.855469,,,
32966852985,-0.5625,0.4375,-1.1875,-0.0483398,0.499023,0.852051,,,
32966875916,-0.1875,0.3125,-1.25,-0.0522461,0.5,0.852539,,,
32966906130,-0.125,0.3125,-1.0625,-0.0512695,0.499512,0.850586,,,
32966912964,-0.4375,-0.0625,-1.0625,-0.0483398,0.500488,0.863281,,,
32966935847,-0.5625,0,-1.125,-0.0463867,0.496582,0.856445,,,
32966964616,-0.8125,-0.0625,-1.1875,-0.046875,0.495117,0.86084,,,
32966973073,-0.5625,-0.25,-1.3125,-0.0444336,0.492188,0.858887,,,
32967002068,-0.4375,-0.3125,-1.1875,-0.0498047,0.50293,0.857422,,,
32967019117,-0.75,-0.25,-0.9375,-0.0512695,0.496094,0.855957,,,
32967032963,-1.1875,-0.3125,-0.75,-0.0498047,0.501465,0.862793,,,
32967063519,-0.9375,-0.3125,-0.8125,-0.0498047,0.496094,0.853027,,,
32967078507,-0.875,-0.0625,-0.9375,-0.0449219,0.500488,0.863281,,,
