timestamp,x,y,z
31121974224,-0.459473,0.0126953,0.846191
31121999240,-0.465332,0.0126953,0.845215
31122019365,-0.469238,0.015625,0.846191
31122035562,-0.473633,0.0126953,0.851074
31122056860,-0.475586,0.00488281,0.849609
31122080792,-0.479004,0.012207,0.846191
31122095799,-0.475098,0.0141602,0.852051
31122133196,-0.477051,0.0273438,0.85498
31122139567,-0.477051,0.0258789,0.853027
31122185936,-0.480957,0.0200195,0.859863
31122186577,-0.487305,0.0297852,0.855469
31122225160,-0.491211,0.0317383,0.854492
31122229874,-0.492676,0.0390625,0.847656
31122236839,-0.49707,0.0375977,0.854492
31122270682,-0.495117,0.0366211,0.852051
31122284053,-0.5,0.0439453,0.85791
31122316683,-0.513672,0.046875,0.846191
31122328991,-0.518066,0.0493164,0.842773
31122381984,-0.512695,0.050293,0.843262
31122382752,-0.515137,0.0576172,0.852051
31122383725,-0.526855,0.0654297,0.855957
31122414333,-0.523926,0.059082,0.855469
31122419786,-0.52002,0.0551758,0.866699
31122456496,-0.525879,0.0576172,0.867676
31122458781,-0.535156,0.0664062,0.854004
31122476946,-0.53125,0.0634766,0.857422
31122508138,-0.530762,0.0585938,0.849609
31122517248,-0.515137,0.050293,0.849609
31122539787,-0.492188,0.0708008,0.84082
31122562398,-0.480957,0.0820312,0.836426
31122584788,-0.473145,0.097168,0.831055
31122596706,-0.462402,0.104492,0.834961
31122619290,-0.452637,0.103027,0.817383
31122641834,-0.450195,0.0991211,0.811523
31122656902,-0.437988,0.128418,0.805664
31122679362,-0.43457,0.144043,0.769531
31122697149,-0.436523,0.153809,0.757324
31122716807,-0.444336,0.155273,0.734863
31122739243,-0.455078,0.149414,0.724121
31122757301,-0.455566,0.166016,0.701172
31122784339,-0.463379,0.212891,0.674805
31122816398,-0.455566,0.298828,0.622559
31122818785,-0.453125,0.366211,0.606934
31122853172,-0.45166,0.390137,0.587402
31122859123,-0.462891,0.413086,0.585449
31122889998,-0.508301,0.456055,0.555176
31122898214,-0.543945,0.520996,0.548828
31122919256,-0.579102,0.580078,0.518066
31122937093,-0.650391,0.677246,0.427246
31122958248,-0.71875,0.709961,0.344238
31122979289,-0.796387,0.79834,0.23291
31122997180,-0.991699,0.966309,0.10498
31123018153,-1.22559,1.0249,-0.0581055
31123046686,-1.40967,1.02686,-0.163574
31123057128,-1.49219,1.11523,-0.210938
31123079562,-1.60938,1.16602,-0.272949
31123106776,-2.10791,1.27002,-0.350098
31123124599,-2.41016,1.44141,-0.714844
31123138251,-2.52783,1.35303,-0.414062
31123159283,-3.03662,1.40869,-0.651367
31123177847,-3.25439,1.32812,-0.565918
31123198218,-3.43066,1.48096,-0.510742
31123219176,-3.49023,1.41211,-0.411133
31123244582,-3.36523,1.25439,-0.234863
31123260153,-3.17139,1.10205,-0.0463867
31123279213,-2.89014,0.944824,0.130859
31123304741,-2.59424,0.913086,0.3125
31123319682,-2.29053,0.908691,0.276367
31123339492,-2.0332,0.727539,0.34082
31123362637,-1.73438,0.691406,0.245605
31123379006,-1.375,0.416504,0.115723
31123401328,-0.972656,0.23291,0.148438
31123430102,-0.700684,0.325684,0.219727
31123438884,-0.747559,0.0185547,0.248535
31123461385,-0.681152,-0.414062,0.379883
31123489989,-0.570801,-0.632812,0.362305
31123498961,-0.66748,-0.563477,0.482422
31123521902,-0.836914,-0.617188,0.641113
31123543951,-0.804199,-0.660645,0.817383
31123566401,-0.588867,-0.711426,1.02734
31123581777,-0.399414,-0.660645,1.00977
31123610361,-0.0751953,-0.530762,1.0166
31123628012,0.11377,-0.476562,0.975586
31123641392,0.166504,-0.338379,0.903809
31123671334,0.228516,-0.155762,0.824219
31123678202,0.309082,-0.166016,0.902344
31123714893,0.336426,-0.148926,0.894531
31123724055,0.353027,-0.0688477,0.865234
31123746863,0.39209,-0.0654297,0.868652
31123761380,0.441406,-0.0473633,0.879883
31123783873,0.509766,-0.0888672,0.908691
31123813813,0.558105,-0.0966797,0.938477
31123821314,0.606934,-0.0976562,0.930664
31123843905,0.670898,-0.0854492,0.896973
31123858225,0.671387,-0.0874023,0.872559
31123888823,0.65918,-0.0961914,0.868652
31123903974,0.613281,-0.0859375,0.873047
31123918066,0.591797,-0.0576172,0.861328
31123941418,0.57666,-0.0341797,0.814453
31123963892,0.489746,0.0234375,0.772461
31123978114,0.446777,0.0366211,0.740723
31124001320,0.413574,0.0673828,0.730469
31124023959,0.392578,0.0800781,0.722656
31124038130,0.388672,0.128418,0.722656
31124061388,0.406738,0.140625,0.720703
31124083936,0.404785,0.163086,0.709961
31124105081,0.418457,0.197266,0.738281
31124121386,0.466309,0.208984,0.757324
31124143812,0.483398,0.230957,0.769531
31124164980,0.526367,0.260254,0.805664
31124181382,0.547363,0.288086,0.807617
31124204038,0.570801,0.361816,0.828613
31124224931,0.596191,0.421387,0.850586
31124241366,0.571777,0.467773,0.88623
31124263860,0.535645,0.473633,0.916016
31124285174,0.54834,0.498047,0.919434
31124301370,0.553711,0.520508,0.936523
31124324007,0.554688,0.51123,0.939453
31124345159,0.555176,0.525879,0.921875
31124361378,0.544434,0.547363,0.901367
31124383958,0.51416,0.550781,0.88916
31124404955,0.501953,0.537109,0.875
31124421378,0.491211,0.548828,0.861328
31124443788,0.482422,0.538574,0.844727
31124464990,0.478027,0.530762,0.833984
31124481547,0.484863,0.520996,0.809082
31124505199,0.482422,0.499023,0.786133
31124524898,0.464844,0.50293,0.767578
31124541295,0.447266,0.493652,0.774414
31124563769,0.431641,0.487305,0.758789
31124584911,0.429688,0.490723,0.73877
31124601251,0.431641,0.475586,0.734375
31124623912,0.42334,0.470215,0.736816
31124646382,0.421875,0.476074,0.713379
31124661494,0.42334,0.482422,0.710449
31124684095,0.433105,0.471191,0.714355
31124706348,0.440918,0.473145,0.723633
31124721387,0.446777,0.466797,0.719727
31124743844,0.457031,0.471191,0.726074
31124766412,0.44873,0.462891,0.720703
31124780711,0.45166,0.468262,0.723633
31124803852,0.449707,0.467285,0.727051
31124826379,0.443848,0.46875,0.730957
31124840572,0.445312,0.471191,0.733398
31124863914,0.446289,0.470215,0.742188
31124886349,0.444336,0.474121,0.742188
31124900655,0.445801,0.46875,0.737305
31124923833,0.441895,0.472168,0.726562
31124946521,0.442871,0.476074,0.737305
31124960614,0.445801,0.475586,0.730957
31124983837,0.449707,0.474121,0.729004
31125006300,0.453613,0.482422,0.741699
31125020777,0.455078,0.471191,0.744141
31125043928,0.447266,0.473145,0.744629
31125066381,0.463379,0.477539,0.742676
31125080704,0.462891,0.478027,0.748047
31125104115,0.453613,0.478027,0.748047
31125126354,0.452637,0.474609,0.756836
31125147544,0.45166,0.47168,0.748535
31125163867,0.441895,0.474609,0.751465
31125186387,0.435059,0.467773,0.746582
31125207442,0.439453,0.473633,0.742676
31125224004,0.444336,0.469727,0.746582
31125246382,0.447754,0.480957,0.735352
31125267609,0.447266,0.48291,0.729492
31125284081,0.444336,0.473145,0.730957
31125306481,0.444336,0.469238,0.730469
31125327492,0.437988,0.459961,0.735352
31125343949,0.443848,0.455078,0.734375
31125366316,0.437988,0.455566,0.749023
31125387552,0.437988,0.453125,0.747559
31125403956,0.445801,0.461914,0.741211
31125426376,0.445312,0.464355,0.745117
31125447366,0.443848,0.45752,0.742188
31125463855,0.450195,0.459961,0.745605
31125486322,0.459961,0.466309,0.731934
31125507421,0.440918,0.461914,0.739746
31125523978,0.436035,0.460938,0.731934
31125546383,0.439453,0.466797,0.744141
31125568996,0.442383,0.467285,0.737305
31125584051,0.449219,0.465332,0.734863
31125606319,0.446289,0.458008,0.739258
31125628754,0.437988,0.459961,0.733887
31125643756,0.441406,0.466797,0.731934
31125666296,0.458984,0.478516,0.74707
31125688834,0.45459,0.481445,0.754883
31125703355,0.445312,0.467773,0.755859
31125726564,0.450195,0.474609,0.747559
31125748785,0.446777,0.465332,0.75293
31125763116,0.438477,0.466797,0.748535
31125786359,0.43457,0.463867,0.746094
31125809034,0.437988,0.461914,0.737793
31125823132,0.444336,0.469238,0.735352
31125846420,0.445312,0.467773,0.738281
31125868913,0.444824,0.467285,0.746094
31125883136,0.446289,0.474609,0.737793
31125906371,0.433105,0.468262,0.746094
31125928885,0.428711,0.462891,0.748047
31125943209,0.443359,0.467773,0.74707
31125966340,0.449219,0.470703,0.753418
31125988831,0.441895,0.463867,0.755371
31126003098,0.440918,0.464844,0.752441
31126026360,0.433105,0.458984,0.752441
31126048945,0.439453,0.460449,0.754395
31126070108,0.429688,0.462402,0.748535
31126086296,0.427734,0.457031,0.750488
31126108901,0.432617,0.457031,0.742676
31126130110,0.429199,0.450195,0.736816
31126146422,0.431641,0.450684,0.735352
31126169380,0.432129,0.462402,0.746582
31126189985,0.44043,0.465332,0.741699
31126206352,0.45166,0.460938,0.742188
31126229009,0.437012,0.464355,0.746094
31126249927,0.435547,0.461426,0.759277
31126266392,0.444824,0.470215,0.768555
31126288746,0.450195,0.458496,0.762695
31126309879,0.440918,0.474121,0.768066
31126326320,0.429199,0.467285,0.771484
31126348809,0.432129,0.478027,0.759766
31126370028,0.437012,0.462891,0.768066
31126386311,0.439941,0.475098,0.773438
31126408829,0.435059,0.471191,0.773438
31126429980,0.428711,0.462891,0.763672
31126446475,0.42041,0.469727,0.771973
31126468999,0.424805,0.464844,0.759766
31126490085,0.418945,0.461914,0.760742
31126506488,0.416992,0.463379,0.760254
31126529011,0.42041,0.45752,0.754395
31126551339,0.421875,0.441895,0.741211
31126566380,0.428223,0.443359,0.746582
31126589043,0.430176,0.448242,0.74707
31126611376,0.440918,0.444336,0.742676
31126626335,0.435059,0.451172,0.751953
31126648962,0.425781,0.453613,0.756348
31126677510,0.419434,0.449219,0.755371
31126685654,0.407715,0.4375,0.769531
31126708848,0.407715,0.437988,0.769531
31126731847,0.412598,0.44043,0.763672
31126745703,0.407715,0.439453,0.764648
31126768867,0.398438,0.432617,0.759766
31126791527,0.39209,0.431152,0.765625
31126805669,0.384766,0.43457,0.759766
31126828860,0.376465,0.434082,0.769531
31126851354,0.379395,0.437012,0.765137
31126865856,0.378418,0.446777,0.765137
31126889000,0.371582,0.443359,0.750977
31126911363,0.378906,0.445312,0.759766
31126925722,0.384277,0.467773,0.759277
31126948905,0.382812,0.465332,0.763672
31126971375,0.385254,0.470215,0.768555
31126992486,0.390625,0.475098,0.767578
31127008798,0.395508,0.47998,0.772949
31127031370,0.398438,0.472168,0.776367
31127052533,0.401855,0.46875,0.776367
31127068840,0.403809,0.466309,0.785645
31127091322,0.408691,0.469727,0.774902
31127112438,0.407227,0.473145,0.781738
31127128939,0.407227,0.472168,0.777832
31127151463,0.397461,0.467773,0.776855
31127172333,0.400879,0.46875,0.767578
31127188833,0.404297,0.480469,0.765137
31127211335,0.396973,0.477051,0.765625
31127232371,0.396484,0.483398,0.764648
31127248797,0.393066,0.486816,0.759766
31127271339,0.398438,0.481934,0.756836
31127292589,0.39502,0.478027,0.762207
31127308983,0.393066,0.480957,0.765625
31127331405,0.395508,0.476562,0.764648
31127352423,0.405273,0.475586,0.760742
31127368917,0.409668,0.474121,0.76123
31127391314,0.414551,0.48291,0.760742
31127412538,0.403809,0.47998,0.763184
31127428924,0.400879,0.475098,0.76709
31127434223,0.407715,0.476562,0.757324
31127456726,0.412598,0.47168,0.757812
31127479244,0.410156,0.475586,0.764648
31127494492,0.405273,0.476562,0.762695
31127516803,0.401367,0.469238,0.766602
31127539372,0.403809,0.475098,0.763184
31127554457,0.399902,0.472656,0.755371
31127576999,0.39502,0.47168,0.761719
31127599395,0.402832,0.471191,0.764648
31127614168,0.402344,0.47168,0.760254
31127636816,0.394531,0.473633,0.769531
31127659220,0.392578,0.475586,0.767578
31127674300,0.393066,0.479492,0.762695
31127696765,0.388672,0.475098,0.766602
31127719300,0.392578,0.479004,0.765625
31127734457,0.398438,0.476074,0.773438
31127756936,0.404785,0.48877,0.772949
31127779173,0.398438,0.487305,0.770996
31127794210,0.39209,0.492188,0.770996
31127816864,0.388672,0.49707,0.77002
31127839354,0.392578,0.505371,0.776367
31127854376,0.399902,0.510742,0.786621
31127876687,0.393066,0.514648,0.791504
31127899226,0.38916,0.51123,0.804688
